@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute outputs-1 numeric

@data
1382,'2024/06/06 14:45:27:628',4,182,62,104,0
1383,'2024/06/06 14:45:27:651',4,181,62,104,0
1384,'2024/06/06 14:45:27:675',4,180,63,102,0
1385,'2024/06/06 14:45:27:700',4,180,63,102,0
1386,'2024/06/06 14:45:27:732',4,180,61,103,0
1387,'2024/06/06 14:45:27:759',4,178,60,105,0
1388,'2024/06/06 14:45:27:790',4,178,60,105,0
1389,'2024/06/06 14:45:27:820',4,178,60,102,0
1390,'2024/06/06 14:45:27:849',4,176,59,104,0
1391,'2024/06/06 14:45:27:878',4,175,59,104,0
1392,'2024/06/06 14:45:27:908',4,175,59,104,0
1393,'2024/06/06 14:45:27:937',4,175,58,103,0
1394,'2024/06/06 14:45:27:973',4,174,59,103,0
1395,'2024/06/06 14:45:28:006',4,175,59,101,0
1396,'2024/06/06 14:45:28:047',4,175,58,100,0
1397,'2024/06/06 14:45:28:082',4,175,58,101,0
1398,'2024/06/06 14:45:28:112',4,175,58,102,0
1399,'2024/06/06 14:45:28:141',4,175,57,104,0
1400,'2024/06/06 14:45:28:175',4,176,56,105,0
1401,'2024/06/06 14:45:28:208',4,179,59,102,0
1402,'2024/06/06 14:45:28:238',4,182,58,104,0
1403,'2024/06/06 14:45:28:268',4,182,58,104,0
1404,'2024/06/06 14:45:28:302',4,186,58,105,0
1405,'2024/06/06 14:45:28:330',4,188,59,104,0
1406,'2024/06/06 14:45:28:361',4,188,59,104,0
1407,'2024/06/06 14:45:28:391',4,189,59,104,0
1408,'2024/06/06 14:45:28:423',4,193,61,101,0
1409,'2024/06/06 14:45:28:450',4,193,59,106,0
1410,'2024/06/06 14:45:28:485',4,196,60,104,0
1411,'2024/06/06 14:45:28:524',4,195,58,108,0
1412,'2024/06/06 14:45:28:559',4,200,59,105,0
1413,'2024/06/06 14:45:28:593',4,201,59,106,0
1414,'2024/06/06 14:45:29:467',5,192,2,113,0
1415,'2024/06/06 14:45:29:495',5,192,2,113,0
1416,'2024/06/06 14:45:29:527',5,192,2,113,0
1417,'2024/06/06 14:45:29:565',5,192,2,113,0
1418,'2024/06/06 14:45:29:603',5,192,2,113,0
1419,'2024/06/06 14:45:29:633',5,0,0,0,0
1420,'2024/06/06 14:45:29:663',5,0,0,0,0
1421,'2024/06/06 14:45:29:704',5,0,0,0,0
1422,'2024/06/06 14:45:29:741',5,0,0,0,0
1423,'2024/06/06 14:45:29:770',5,0,0,0,0
1424,'2024/06/06 14:45:29:807',5,0,0,0,0
1425,'2024/06/06 14:45:29:836',5,0,0,0,0
1426,'2024/06/06 14:45:29:865',5,0,0,0,0
1427,'2024/06/06 14:45:29:902',5,0,0,0,0
1428,'2024/06/06 14:45:29:940',5,0,0,0,0
1429,'2024/06/06 14:45:29:976',5,0,0,0,0
1430,'2024/06/06 14:45:30:006',5,0,0,0,0
1431,'2024/06/06 14:45:30:035',5,0,0,0,0
1432,'2024/06/06 14:45:30:065',5,0,0,0,0
1433,'2024/06/06 14:45:30:098',5,0,0,0,0
1434,'2024/06/06 14:45:30:129',5,0,0,0,0
1435,'2024/06/06 14:45:30:165',5,0,0,0,0
1436,'2024/06/06 14:45:30:198',5,0,0,0,0
1437,'2024/06/06 14:45:30:229',5,0,0,0,0
1438,'2024/06/06 14:45:30:265',5,0,0,0,0
1439,'2024/06/06 14:45:32:056',6,142,154,84,0
1440,'2024/06/06 14:45:32:089',6,141,155,82,0
1441,'2024/06/06 14:45:32:120',6,141,153,84,0
1442,'2024/06/06 14:45:32:154',6,140,152,84,0
1443,'2024/06/06 14:45:32:185',6,140,150,85,0
1444,'2024/06/06 14:45:32:208',6,140,148,88,0
1445,'2024/06/06 14:45:32:238',6,139,147,88,0
1446,'2024/06/06 14:45:32:275',6,140,146,88,0
1447,'2024/06/06 14:45:32:304',6,140,147,88,0
1448,'2024/06/06 14:45:32:334',6,140,145,90,0
1449,'2024/06/06 14:45:32:361',6,142,147,88,0
1450,'2024/06/06 14:45:32:389',6,140,145,90,0
1451,'2024/06/06 14:45:32:419',6,140,145,90,0
1452,'2024/06/06 14:45:32:449',6,142,145,90,0
1453,'2024/06/06 14:45:32:476',6,142,145,88,0
1454,'2024/06/06 14:45:32:507',6,142,144,90,0
1455,'2024/06/06 14:45:32:540',6,143,144,90,0
1456,'2024/06/06 14:45:32:570',6,144,142,92,0
1457,'2024/06/06 14:45:32:600',6,144,141,94,0
1458,'2024/06/06 14:45:32:629',6,145,141,93,0
1459,'2024/06/06 14:45:32:658',6,146,142,92,0
1460,'2024/06/06 14:45:32:690',6,145,140,94,0
1461,'2024/06/06 14:45:32:714',6,145,140,94,0
1462,'2024/06/06 14:45:32:739',6,149,141,93,0
1463,'2024/06/06 14:45:32:764',6,149,140,95,0
1464,'2024/06/06 14:45:32:790',6,149,140,95,0
1465,'2024/06/06 14:45:32:813',6,149,140,94,0
1466,'2024/06/06 14:45:32:835',6,150,139,96,0
1467,'2024/06/06 14:45:33:728',7,214,133,96,0
1468,'2024/06/06 14:45:33:752',7,211,132,100,0
1469,'2024/06/06 14:45:33:777',7,211,129,102,0
1470,'2024/06/06 14:45:33:805',7,211,129,102,0
1471,'2024/06/06 14:45:33:835',7,213,131,100,0
1472,'2024/06/06 14:45:33:867',7,213,133,98,0
1473,'2024/06/06 14:45:33:897',7,214,133,96,0
1474,'2024/06/06 14:45:33:931',7,214,133,96,0
1475,'2024/06/06 14:45:33:962',7,212,131,100,0
1476,'2024/06/06 14:45:33:996',7,212,131,101,0
1477,'2024/06/06 14:45:34:032',7,212,132,98,0
1478,'2024/06/06 14:45:34:060',7,212,134,97,0
1479,'2024/06/06 14:45:34:091',7,211,133,97,0
1480,'2024/06/06 14:45:34:124',7,210,131,99,0
1481,'2024/06/06 14:45:34:156',7,211,133,96,0
1482,'2024/06/06 14:45:34:190',7,211,133,96,0
1483,'2024/06/06 14:45:34:222',7,209,132,98,0
1484,'2024/06/06 14:45:34:252',7,208,132,98,0
1485,'2024/06/06 14:45:34:283',7,210,132,97,0
1486,'2024/06/06 14:45:34:315',7,210,132,97,0
1487,'2024/06/06 14:45:35:637',8,88,71,160,0
1488,'2024/06/06 14:45:35:662',8,87,71,159,0
1489,'2024/06/06 14:45:35:686',8,84,70,165,0
1490,'2024/06/06 14:45:35:718',8,84,70,165,0
